Employee_ID,Age,Experience_Years,Monthly_Salary,Annual_Bonus,Performance_Score,Training_Hours,Projects_Completed,Job_Satisfaction,Education,Department,Employment_Type,Work_Mode,City,Promotion
EMP-00020,32.0,14.0,16730.59,42502.23,Poor,19.3,3.0,High,Master,Sales,Part-Time,Hybrid,Lahore,No
EMP-00021,26.0,7.0,,1000.0,Poor,24.5,2.0,Very High,High School,Sales,Full-Time,Office,Peshawar,No
EMP-00022,42.0,22.0,19151.71,13033.98,Good,18.1,3.0,Very High,Master,Sales,Full-Time,Office,Rawalpindi,No
EMP-00023,38.0,10.0,10884.31,17554.0,Poor,8.0,6.0,High,High School,Marketing,Full-Time,Office,Multan,No
EMP-00024,30.0,9.0,10815.45,13711.21,Good,29.8,6.0,Medium,Bachelor,Operations,Full-Time,Office,Lahore,No
EMP-00025,28.0,5.0,13385.78,13694.96,Good,41.4,2.0,,Bachelor,Operations,Full-Time,Remote,Islamabad,No
EMP-00026,35.0,15.0,18402.47,33110.23,Good,8.9,3.0,High,PhD,,Full-Time,Office,Karachi,Yes
EMP-00027,24.0,0.0,5527.89,3572.05,Good,,4.0,High,High School,HR,Full-Time,Hybrid,Lahore,No
EMP-00028,35.0,16.0,15175.42,28964.56,Average,27.0,5.0,High,Bachelor,Operations,Full-Time,Office,Islamabad,No
EMP-00029,28.0,8.0,14814.47,32072.95,Average,24.0,4.0,Medium,PhD,IT,Full-Time,Office,Islamabad,No
EMP-00030,37.0,12.0,14991.07,12840.09,Good,32.2,7.0,High,Master,HR,Contract,Office,Lahore,No
EMP-00031,42.0,19.0,17515.42,5126.32,Poor,36.1,4.0,High,Bachelor,Finance,Contract,Remote,Karachi,No
EMP-00032,33.0,6.0,12345.12,28814.84,Good,7.5,2.0,High,Bachelor,HR,Full-Time,Hybrid,Islamabad,No
EMP-00033,35.0,12.0,14488.22,9546.4,Excellent,26.9,3.0,Medium,Bachelor,Marketing,Part-Time,Remote,Lahore,Yes
EMP-00034,36.0,12.0,15058.89,6619.56,Average,24.9,9.0,Medium,Bachelor,Marketing,Part-Time,Hybrid,Karachi,No
EMP-00035,42.0,18.0,17304.97,36314.98,Average,7.0,5.0,High,Bachelor,HR,Part-Time,Hybrid,Lahore,No
EMP-00036,41.0,19.0,11977.93,19964.66,Good,18.9,2.0,High,Bachelor,HR,Full-Time,Office,Islamabad,No
EMP-00037,39.0,16.0,14696.55,18657.21,Average,5.1,5.0,Low,High School,HR,Full-Time,Office,Karachi,No
EMP-00038,38.0,20.0,16863.06,21956.08,Excellent,13.2,2.0,High,Bachelor,HR,Full-Time,Hybrid,Rawalpindi,No
EMP-00039,25.0,1.0,13151.28,16741.67,Average,9.8,5.0,Medium,Master,HR,Contract,Remote,Lahore,No
EMP-00040,21.0,0.0,6434.87,8465.35,Average,42.5,6.0,Low,High School,IT,Contract,Office,Lahore,No
EMP-00041,25.0,0.0,7766.59,10222.32,Average,11.1,4.0,Medium,Bachelor,Finance,Full-Time,Office,Karachi,No
EMP-00042,58.0,35.0,26267.17,35797.99,Good,48.9,8.0,High,Master,Operations,Full-Time,Office,Karachi,Yes
EMP-00043,35.0,15.0,16084.38,24302.15,Average,90.9,4.0,Very High,Master,Operations,Contract,Office,Karachi,No
EMP-00044,28.0,8.0,10039.49,5356.17,Good,10.1,6.0,,Bachelor,Finance,Full-Time,Office,Lahore,No
EMP-00045,38.0,14.0,15473.74,23535.71,Excellent,19.3,3.0,High,Bachelor,Marketing,Full-Time,Hybrid,Multan,Yes
EMP-00046,35.0,14.0,15997.71,24678.22,Average,26.1,4.0,High,Master,Finance,Full-Time,Hybrid,Islamabad,No
EMP-00047,39.0,17.0,16497.88,28887.88,Good,30.9,9.0,Low,Master,IT,Full-Time,Office,Peshawar,No
EMP-00048,40.0,23.0,18084.45,23342.39,Good,8.2,3.0,Medium,Bachelor,Sales,Full-Time,Hybrid,Peshawar,No
EMP-00049,27.0,7.0,9880.06,17806.3,Good,34.6,4.0,Low,High School,HR,Full-Time,Hybrid,Lahore,Yes
EMP-00050,28.0,8.0,12101.76,11274.32,Good,23.6,6.0,Low,Bachelor,Sales,Part-Time,Office,Karachi,No
EMP-00051,43.0,24.0,19026.6,3160.3,Good,,6.0,Medium,Bachelor,Marketing,Full-Time,Office,Multan,No
EMP-00052,26.0,5.0,13241.81,19936.09,Good,15.0,7.0,High,Master,Finance,Full-Time,Office,Rawalpindi,No
EMP-00053,36.0,14.0,16314.54,25231.83,Good,60.4,4.0,Medium,Master,Operations,Full-Time,Office,Islamabad,Yes
EMP-00054,29.0,5.0,9140.9,14786.3,Average,21.8,7.0,Low,High School,Finance,Full-Time,Office,Rawalpindi,No
EMP-00055,37.0,19.0,17935.49,5169.23,Poor,25.3,6.0,High,PhD,Sales,Full-Time,Office,Islamabad,No
EMP-00056,40.0,21.0,18389.91,28200.31,Good,37.4,7.0,High,Bachelor,HR,Part-Time,Hybrid,Lahore,No
EMP-00057,29.0,7.0,14625.49,15640.72,Good,30.7,4.0,High,Master,Operations,Full-Time,Remote,Rawalpindi,No
EMP-00058,43.0,21.0,19184.56,8946.42,Poor,34.9,6.0,Medium,Master,HR,Full-Time,Hybrid,Karachi,No
EMP-00059,28.0,8.0,11634.45,10733.8,Excellent,8.8,5.0,Very High,Bachelor,Operations,Full-Time,Hybrid,Karachi,Yes
EMP-00060,28.0,,12062.43,9574.83,Good,38.2,5.0,,Master,Marketing,Full-Time,Office,Islamabad,No
EMP-00061,32.0,10.0,10898.83,20074.44,Good,70.0,5.0,Medium,Bachelor,Operations,Full-Time,Office,Karachi,Yes
EMP-00062,35.0,12.0,,29402.95,Poor,29.6,5.0,High,PhD,Operations,Part-Time,Hybrid,Peshawar,No
EMP-00063,28.0,6.0,12336.63,9851.16,Poor,82.9,6.0,Medium,Bachelor,HR,Full-Time,Office,Lahore,No
EMP-00064,21.0,0.0,9577.97,7341.12,Good,11.9,5.0,Medium,Bachelor,Marketing,Full-Time,Office,Islamabad,No
EMP-00065,28.0,4.0,14173.61,29294.97,Good,2.0,7.0,Medium,Bachelor,Operations,Full-Time,Office,Rawalpindi,No
EMP-00066,36.0,10.0,18283.79,7456.68,,14.8,4.0,Medium,Master,Sales,Contract,Hybrid,Karachi,Yes
EMP-00067,38.0,15.0,13768.58,25193.79,Good,35.1,5.0,High,Master,Finance,Contract,Remote,Multan,No
EMP-00068,35.0,9.0,10615.01,8893.4,Good,56.0,2.0,Medium,Bachelor,IT,Full-Time,Hybrid,Rawalpindi,No
EMP-00069,56.0,34.0,26074.56,46240.72,Good,16.1,3.0,Low,Bachelor,HR,Full-Time,Hybrid,Peshawar,Yes
EMP-00070,39.0,12.0,16779.74,23333.66,Poor,42.2,3.0,High,Bachelor,Finance,Full-Time,Office,Rawalpindi,No
EMP-00071,27.0,9.0,12231.32,21679.75,Good,16.9,3.0,Medium,High School,Operations,Full-Time,Hybrid,Peshawar,Yes
EMP-00072,34.0,12.0,15779.26,32822.54,Excellent,19.3,8.0,Very High,Bachelor,Finance,Full-Time,Hybrid,Lahore,No
EMP-00073,37.0,13.0,13398.65,1451.49,Good,10.9,3.0,High,Bachelor,HR,Full-Time,Hybrid,Islamabad,Yes
EMP-00074,39.0,21.0,17795.74,19217.65,Poor,5.0,3.0,Low,Bachelor,Operations,Full-Time,Hybrid,Karachi,No
EMP-00075,40.0,25.0,16891.13,36610.95,Average,43.1,8.0,Low,Master,Finance,Contract,Remote,Rawalpindi,Yes
EMP-00076,38.0,14.0,12872.93,20412.41,Good,51.8,8.0,Medium,Bachelor,IT,Part-Time,Office,Peshawar,Yes
EMP-00077,30.0,5.0,10594.56,26383.74,Good,57.7,3.0,Very High,Bachelor,HR,Contract,Office,Multan,No
EMP-00078,46.0,19.0,19880.04,24968.47,Average,43.3,7.0,High,PhD,IT,Part-Time,Hybrid,Lahore,No
EMP-00079,44.0,15.0,14128.61,27516.17,Good,15.6,5.0,Medium,Bachelor,Marketing,Contract,Hybrid,,Yes
EMP-00080,34.0,8.0,13009.17,12726.86,Good,50.1,7.0,Medium,Master,Marketing,Full-Time,Office,Karachi,No
EMP-00081,31.0,10.0,11797.9,12550.97,Good,31.8,6.0,High,High School,Finance,Contract,Office,Rawalpindi,No
EMP-00082,40.0,18.0,16951.6,27666.17,Poor,21.1,2.0,Medium,Bachelor,Marketing,Full-Time,Hybrid,Karachi,No
EMP-00083,34.0,9.0,17792.2,11713.3,Good,,5.0,High,PhD,Finance,Part-Time,Hybrid,Islamabad,No
EMP-00084,26.0,7.0,9608.87,5755.21,Average,14.4,3.0,Very High,Bachelor,Marketing,Full-Time,Remote,Lahore,No
EMP-00085,41.0,20.0,21258.23,27309.28,Good,81.8,2.0,Medium,PhD,Operations,Full-Time,Hybrid,Lahore,No
EMP-00086,33.0,13.0,14877.96,22648.99,Good,9.3,2.0,Medium,Bachelor,Sales,Full-Time,Hybrid,Lahore,No
EMP-00087,52.0,30.0,18117.31,15625.73,Average,15.5,5.0,High,High School,Sales,Full-Time,Office,Multan,Yes
EMP-00088,21.0,2.0,8523.56,12687.57,Good,19.5,6.0,High,Bachelor,IT,Full-Time,Hybrid,Multan,No
EMP-00089,44.0,23.0,16658.57,22012.33,Excellent,15.6,5.0,Medium,Bachelor,,Contract,Office,Karachi,No
EMP-00090,29.0,3.0,9018.19,5964.25,Poor,28.5,11.0,Low,High School,Marketing,Full-Time,Remote,Karachi,No
EMP-00091,26.0,0.0,8757.14,3195.54,Good,50.8,8.0,High,Bachelor,HR,Full-Time,Hybrid,Karachi,Yes
EMP-00092,38.0,14.0,15470.17,33252.91,Average,7.3,6.0,Very High,Bachelor,Finance,Contract,Hybrid,Peshawar,No
EMP-00093,57.0,32.0,19732.1,36014.13,Average,34.9,2.0,High,High School,Sales,Full-Time,Hybrid,Lahore,No
EMP-00094,24.0,0.0,8485.55,7844.21,Average,15.7,1.0,High,Bachelor,Operations,Full-Time,Hybrid,Multan,No
EMP-00095,42.0,15.0,14547.12,26360.79,Average,10.4,5.0,High,Bachelor,Finance,Full-Time,Hybrid,Rawalpindi,No
EMP-00096,43.0,19.0,17485.96,10231.97,Good,15.5,4.0,Medium,Master,IT,Contract,Office,Lahore,Yes
EMP-00097,38.0,20.0,15322.14,32016.81,Good,4.6,3.0,High,Master,Operations,Full-Time,Hybrid,Lahore,No
EMP-00098,29.0,4.0,13141.43,28687.73,Excellent,13.9,2.0,Medium,PhD,Finance,Full-Time,Office,Islamabad,No
EMP-00099,32.0,12.0,14056.13,8910.98,Average,29.0,3.0,Medium,Bachelor,HR,Full-Time,Hybrid,Karachi,No
EMP-00100,52.0,30.0,25943.91,56443.17,Average,29.4,5.0,Medium,Master,Sales,Full-Time,Remote,Karachi,Yes
EMP-00101,33.0,13.0,15697.69,21370.13,Average,29.5,3.0,High,Master,HR,Contract,Hybrid,Karachi,Yes
EMP-00102,36.0,17.0,16141.53,5422.91,Good,24.3,3.0,Very High,Bachelor,HR,Full-Time,Hybrid,Islamabad,Yes
EMP-00103,39.0,15.0,11653.26,20797.82,,52.3,3.0,High,Bachelor,Sales,Full-Time,Hybrid,Peshawar,Yes
EMP-00104,41.0,21.0,18535.03,29106.07,Excellent,8.9,4.0,Very High,Master,IT,Full-Time,Hybrid,Rawalpindi,No
EMP-00105,47.0,19.0,18794.09,39478.61,Average,14.8,7.0,Very High,Bachelor,Finance,Full-Time,Office,Islamabad,No
EMP-00106,48.0,20.0,19218.05,22508.42,Good,19.8,2.0,Medium,Master,Finance,Full-Time,Office,Lahore,No
EMP-00107,32.0,11.0,11054.48,15685.11,Average,78.2,10.0,Very High,High School,IT,Full-Time,Hybrid,Multan,No
EMP-00108,25.0,2.0,11857.14,,Excellent,23.0,2.0,High,Bachelor,Marketing,Full-Time,Office,Multan,No
EMP-00109,38.0,15.0,11184.38,2470.95,Good,18.0,3.0,Medium,High School,HR,Full-Time,Office,Karachi,No
EMP-00110,23.0,7.0,12431.16,19478.41,Good,19.6,3.0,High,Master,IT,Full-Time,Hybrid,Karachi,No
EMP-00111,,2.0,6611.01,7013.2,Average,66.1,5.0,Very High,High School,Marketing,Full-Time,Office,Rawalpindi,No
EMP-00112,30.0,4.0,11894.32,8746.86,Average,2.6,8.0,Very High,Bachelor,Marketing,Full-Time,Office,Karachi,No
EMP-00113,25.0,0.0,10909.28,18490.45,Average,42.2,4.0,Very High,Master,IT,Part-Time,Hybrid,Islamabad,No
EMP-00114,29.0,7.0,11037.64,23384.69,Poor,10.1,5.0,Medium,Master,Sales,Full-Time,Office,Peshawar,No
EMP-00115,39.0,19.0,15271.49,29090.75,Average,28.7,5.0,High,Bachelor,HR,Part-Time,Hybrid,Islamabad,No
EMP-00116,39.0,19.0,15161.47,23993.71,Average,17.4,5.0,High,High School,Operations,Contract,Hybrid,Peshawar,No
EMP-00117,38.0,17.0,17837.49,30401.62,Average,73.8,9.0,Very High,Master,Finance,Full-Time,Remote,Karachi,No
EMP-00118,29.0,7.0,8275.07,11345.71,Good,42.5,3.0,Very High,Bachelor,Operations,Full-Time,Hybrid,Islamabad,Yes
EMP-00119,45.0,27.0,21400.58,20654.22,Good,41.7,2.0,Low,PhD,Finance,Full-Time,,Rawalpindi,Yes
EMP-00120,41.0,20.0,17495.87,12353.72,Good,19.5,8.0,Medium,Bachelor,Marketing,Full-Time,Remote,Rawalpindi,Yes
EMP-00121,21.0,1.0,9164.23,20778.47,Good,8.9,3.0,Medium,Master,Sales,Full-Time,Hybrid,Lahore,No
EMP-00122,32.0,15.0,,11390.59,Good,16.9,1.0,Very High,Bachelor,Finance,Full-Time,Office,Peshawar,No
EMP-00123,42.0,20.0,18164.65,24881.62,Average,35.9,3.0,Medium,Master,Marketing,Full-Time,Office,Multan,Yes
EMP-00124,31.0,5.0,14124.73,1000.0,Good,15.3,5.0,Medium,PhD,Operations,Full-Time,Office,Peshawar,No
EMP-00125,43.0,20.0,16650.35,11715.14,Good,30.0,2.0,High,Bachelor,Operations,Full-Time,Remote,Lahore,No
EMP-00126,34.0,11.0,16512.51,24032.28,Good,17.1,7.0,Medium,Master,HR,Full-Time,Hybrid,Multan,No
EMP-00127,54.0,33.0,21092.9,33112.99,Average,24.4,6.0,Medium,Bachelor,Marketing,Full-Time,Hybrid,Rawalpindi,Yes
EMP-00128,33.0,11.0,14451.6,18853.63,Average,67.1,5.0,High,Master,Operations,Full-Time,Office,Islamabad,No
EMP-00129,27.0,7.0,11090.96,28701.99,Excellent,66.8,3.0,Medium,Bachelor,Marketing,Part-Time,Hybrid,Lahore,Yes
EMP-00130,35.0,10.0,14530.01,23246.8,Average,81.7,3.0,Low,Master,HR,Full-Time,Remote,Karachi,Yes
EMP-00131,29.0,6.0,13787.86,20432.36,Average,4.8,8.0,High,Master,IT,Part-Time,Office,Karachi,Yes
EMP-00132,31.0,3.0,12017.72,15217.07,,18.1,3.0,Very High,Bachelor,IT,Full-Time,Office,Lahore,No
EMP-00133,29.0,15.0,14296.24,14999.75,Average,2.0,3.0,Medium,Master,Finance,Full-Time,Remote,Islamabad,No
EMP-00134,26.0,8.0,12537.54,1000.0,Poor,34.7,4.0,Medium,Bachelor,Sales,Part-Time,Office,Multan,No
EMP-00135,42.0,24.0,19531.62,37637.12,Good,55.1,5.0,High,Master,Marketing,Contract,Remote,Peshawar,Yes
EMP-00136,34.0,15.0,16585.77,1188.01,Good,15.4,5.0,Low,Bachelor,Marketing,Full-Time,Office,Peshawar,No
EMP-00137,36.0,12.0,12819.67,20197.59,Average,49.8,6.0,High,High School,Marketing,Full-Time,Office,Peshawar,No
EMP-00138,21.0,0.0,8853.12,25107.98,Average,11.6,3.0,Very High,Bachelor,Finance,Full-Time,Office,Multan,No
EMP-00139,45.0,23.0,16194.98,24067.95,Excellent,27.9,7.0,Medium,Bachelor,HR,Full-Time,Hybrid,Karachi,Yes
EMP-00140,21.0,1.0,8135.28,18206.84,Excellent,29.4,6.0,Medium,Bachelor,Marketing,Part-Time,Hybrid,Karachi,Yes
EMP-00141,32.0,11.0,11338.56,24825.08,Good,54.8,4.0,High,High School,IT,Contract,Hybrid,Karachi,No
EMP-00142,34.0,13.0,15481.35,10668.26,Good,15.0,6.0,Medium,Bachelor,Finance,Contract,Hybrid,Multan,Yes
EMP-00143,21.0,2.0,7517.03,8774.43,Good,6.9,5.0,High,Master,Sales,Full-Time,Hybrid,Islamabad,Yes
EMP-00144,47.0,23.0,17400.04,26602.48,Good,74.6,1.0,Very High,Bachelor,Marketing,Full-Time,Remote,Peshawar,Yes
EMP-00145,29.0,1.0,10019.45,,Excellent,34.5,5.0,High,Master,Operations,Full-Time,Hybrid,Lahore,Yes
EMP-00146,29.0,4.0,14643.36,24863.68,Average,,5.0,Medium,PhD,Sales,Full-Time,Hybrid,Islamabad,No
EMP-00147,35.0,8.0,14379.45,8688.25,Good,8.5,3.0,High,Master,HR,Full-Time,Office,Rawalpindi,No
EMP-00148,40.0,18.0,14885.97,31376.93,Excellent,19.7,5.0,High,High School,Sales,Full-Time,Office,Rawalpindi,Yes
EMP-00149,38.0,20.0,17248.59,11802.01,Good,39.2,8.0,Medium,Bachelor,Finance,Full-Time,Hybrid,Rawalpindi,No
EMP-00150,27.0,6.0,15678.19,9707.04,Good,46.3,4.0,Medium,PhD,Marketing,Full-Time,Hybrid,Multan,No
EMP-00151,35.0,14.0,13079.06,11855.81,Excellent,28.5,4.0,Medium,High School,Marketing,Part-Time,Hybrid,Peshawar,No
EMP-00152,33.0,14.0,13829.43,9266.66,Good,62.5,11.0,Medium,Bachelor,Marketing,Full-Time,Hybrid,Karachi,Yes
EMP-00153,42.0,18.0,14043.67,11465.96,Good,30.6,3.0,Medium,Bachelor,Finance,Full-Time,Hybrid,Peshawar,No
EMP-00154,43.0,22.0,18091.2,27703.99,Excellent,10.9,9.0,Very High,Bachelor,IT,Full-Time,Hybrid,Multan,Yes
EMP-00155,34.0,14.0,13304.36,22563.68,Good,9.5,4.0,High,High School,IT,Full-Time,Office,Multan,No
EMP-00156,36.0,12.0,17271.84,30242.54,Good,41.7,5.0,High,Master,Marketing,Full-Time,Office,Lahore,No
EMP-00157,42.0,23.0,16975.37,17287.28,Good,15.2,4.0,Low,Bachelor,Operations,Full-Time,Office,Peshawar,No
EMP-00158,34.0,11.0,10775.41,17452.26,Good,52.8,1.0,Medium,Bachelor,Sales,Full-Time,Office,Karachi,No
EMP-00159,36.0,12.0,16519.84,37948.9,Good,44.0,4.0,Medium,Master,HR,Full-Time,Hybrid,Multan,No
EMP-00160,44.0,19.0,19323.13,18026.7,Poor,19.7,6.0,Low,Master,Sales,Full-Time,Office,Multan,No
EMP-00161,35.0,9.0,13971.4,22829.85,Average,17.9,6.0,High,Bachelor,Sales,Full-Time,Hybrid,Rawalpindi,No
EMP-00162,36.0,9.0,14641.39,27008.99,Good,12.7,,Medium,PhD,Sales,Full-Time,Office,Multan,No
EMP-00163,29.0,7.0,11509.87,13156.6,Average,39.7,7.0,Medium,Master,Finance,Full-Time,Office,Multan,No
EMP-00164,31.0,8.0,8377.99,10327.25,Good,14.9,6.0,High,High School,IT,Full-Time,Office,Peshawar,Yes
EMP-00165,34.0,13.0,11537.08,,Average,29.2,3.0,Medium,Bachelor,IT,Full-Time,Office,Peshawar,No
EMP-00166,41.0,18.0,18726.43,36077.83,Good,40.9,2.0,Low,Master,Marketing,Contract,Hybrid,Peshawar,No
EMP-00167,23.0,0.0,7024.9,20377.67,Excellent,42.5,6.0,Medium,Bachelor,HR,Full-Time,Office,Islamabad,Yes
EMP-00168,31.0,5.0,,23968.53,Average,64.6,9.0,High,Master,HR,Contract,Hybrid,Lahore,No
EMP-00169,37.0,11.0,14088.67,14824.49,Poor,61.7,4.0,Very High,Master,IT,Contract,Office,Islamabad,No
EMP-00170,40.0,19.0,13780.97,20873.9,Good,7.8,7.0,Medium,Bachelor,Marketing,Full-Time,Hybrid,Peshawar,No
EMP-00171,35.0,15.0,17833.99,29601.34,Good,6.5,5.0,High,PhD,Marketing,Full-Time,Office,Rawalpindi,No
EMP-00172,29.0,4.0,8979.93,23867.54,Good,11.3,6.0,Medium,Bachelor,IT,Full-Time,Hybrid,Peshawar,No
EMP-00173,40.0,22.0,18103.83,10387.29,Good,16.7,4.0,High,Bachelor,Operations,Full-Time,Office,Karachi,No
EMP-00174,35.0,14.0,11485.01,8163.29,Good,76.2,4.0,Medium,High School,Finance,Part-Time,Office,Peshawar,No
EMP-00175,38.0,10.0,13362.78,26284.36,Poor,29.9,3.0,Medium,High School,HR,Full-Time,Hybrid,Karachi,No
EMP-00176,28.0,4.0,8660.94,17295.6,Average,14.2,4.0,Very High,Bachelor,Sales,Full-Time,Hybrid,Multan,No
EMP-00177,36.0,16.0,16018.37,26241.33,Good,47.5,10.0,High,Bachelor,HR,Full-Time,Remote,Multan,No
EMP-00178,32.0,10.0,12457.66,18135.62,Excellent,24.0,2.0,Medium,Bachelor,Operations,Full-Time,Office,Rawalpindi,No
EMP-00179,31.0,10.0,15119.26,15181.27,Excellent,20.3,4.0,,Master,Marketing,Full-Time,Office,Rawalpindi,Yes
EMP-00180,24.0,0.0,9824.1,20623.04,Good,54.7,6.0,Very High,Bachelor,Sales,Full-Time,Office,Islamabad,No
EMP-00181,24.0,5.0,10663.95,14423.88,Average,6.5,4.0,High,Master,Operations,Full-Time,Hybrid,Islamabad,No
EMP-00182,21.0,3.0,6223.01,1000.0,Average,39.4,7.0,Low,High School,Finance,Part-Time,Office,Karachi,No
EMP-00183,44.0,20.0,16533.48,4981.28,Average,5.2,2.0,High,Bachelor,HR,Full-Time,Hybrid,Lahore,No
EMP-00184,29.0,11.0,11821.11,21519.81,Excellent,23.5,6.0,Medium,Bachelor,HR,Contract,Remote,Peshawar,No
EMP-00185,50.0,30.0,19477.89,33953.8,Good,6.8,3.0,High,Bachelor,Marketing,Full-Time,Office,Peshawar,Yes
EMP-00186,21.0,0.0,9869.28,20550.7,Good,4.8,5.0,High,Master,Finance,Full-Time,Hybrid,Karachi,Yes
EMP-00187,32.0,,14006.63,,Good,53.4,9.0,High,Bachelor,IT,Full-Time,Hybrid,Islamabad,Yes
EMP-00188,44.0,24.0,16436.71,20335.27,Good,,6.0,High,Bachelor,HR,Full-Time,Office,Islamabad,No
EMP-00189,24.0,5.0,11399.58,26253.22,Average,21.2,5.0,High,Master,Marketing,Contract,Hybrid,Lahore,Yes
EMP-00190,24.0,4.0,11181.63,28818.48,Average,63.8,,Very High,Master,Marketing,Part-Time,Office,Islamabad,Yes
EMP-00191,37.0,17.0,16907.32,20448.24,Excellent,68.1,2.0,Medium,Bachelor,Marketing,Contract,Office,Rawalpindi,No
EMP-00192,38.0,18.0,17309.31,18819.68,Good,19.6,8.0,High,Master,Marketing,Full-Time,Hybrid,Karachi,No
EMP-00193,34.0,10.0,12374.36,14035.58,Good,,,Medium,High School,HR,Full-Time,Hybrid,Rawalpindi,No
EMP-00194,28.0,7.0,14096.3,26933.1,Good,7.8,7.0,High,PhD,Marketing,Part-Time,Office,Islamabad,No
EMP-00195,33.0,15.0,15810.97,9895.89,Good,48.6,4.0,Very High,Master,Marketing,Full-Time,Hybrid,Rawalpindi,Yes
EMP-00196,50.0,31.0,20111.71,9948.18,Good,10.7,4.0,Low,Bachelor,Finance,Full-Time,Remote,Rawalpindi,No
EMP-00197,43.0,20.0,15816.97,22440.88,Good,42.6,1.0,Medium,Bachelor,IT,Contract,Remote,Lahore,No
EMP-00198,35.0,10.0,12788.13,4720.51,Excellent,39.8,5.0,High,Master,Finance,,Office,Islamabad,No
EMP-00199,27.0,8.0,10356.97,13545.71,Good,40.3,9.0,High,High School,Sales,Full-Time,Hybrid,Multan,No
EMP-00200,31.0,7.0,10558.53,13780.19,Good,41.2,6.0,Medium,High School,Sales,Part-Time,Office,Lahore,No
EMP-00201,47.0,23.0,21663.78,36984.26,Good,58.6,9.0,Very High,Bachelor,HR,Full-Time,Office,Multan,Yes
EMP-00202,43.0,17.0,17583.01,87185.71,Good,20.6,4.0,High,Bachelor,HR,Full-Time,Hybrid,Multan,Yes
EMP-00203,21.0,0.0,9723.73,12687.46,Good,44.7,5.0,Medium,Bachelor,Finance,Full-Time,Remote,Islamabad,No
EMP-00204,27.0,6.0,8098.82,4748.16,Good,33.2,5.0,High,High School,Marketing,Part-Time,Office,Islamabad,No
EMP-00205,38.0,15.0,13910.95,23267.35,Good,64.7,2.0,High,High School,IT,Full-Time,Office,Rawalpindi,Yes
EMP-00206,49.0,31.0,,21149.73,Excellent,51.8,5.0,Medium,Bachelor,Finance,Full-Time,Office,Karachi,Yes
EMP-00207,22.0,0.0,10147.95,17122.98,Excellent,33.6,7.0,Low,Bachelor,HR,Contract,Office,Karachi,No
EMP-00208,35.0,10.0,10967.5,18970.28,Good,14.1,6.0,Medium,High School,Operations,Full-Time,Office,Lahore,No
EMP-00209,45.0,25.0,18721.23,25055.11,Average,12.8,7.0,Medium,Bachelor,Marketing,Full-Time,Hybrid,Multan,Yes
EMP-00210,43.0,17.0,14883.68,30494.89,Good,38.6,0.0,Very High,High School,HR,Full-Time,Office,Karachi,No
